state,location,so2,no2,rspm,date,season
Karnataka,Mysore,19.1,9.4,,1987-03-27,Summer
Karnataka,Mysore,19.8,,,1987-01-04,Winter
Karnataka,Mysore,27.3,21.3,,1987-10-04,Monsoon
Karnataka,Mysore,27.2,17.8,,1987-02-04,Winter
Karnataka,Mysore,10.9,6.7,,1987-02-05,Winter
Karnataka,Mysore,9.8,7.4,,1987-05-05,Summer
Karnataka,Mysore,,,,1987-04-05,Summer
Karnataka,Mysore,24.0,2.9,,1987-03-06,Summer
Karnataka,Mysore,9.1,,,1987-04-06,Summer
Karnataka,Mysore,11.3,,,1987-02-06,Winter
Karnataka,Mysore,10.7,3.0,,1987-01-07,Winter
Karnataka,Mysore,17.8,4.2,,1987-04-07,Summer
Karnataka,Mysore,15.7,6.5,,1987-06-07,Monsoon
Karnataka,Mysore,26.6,5.9,,1987-02-08,Winter
Karnataka,Mysore,22.9,3.6,,1987-01-08,Winter
Karnataka,Mysore,26.2,2.9,,1987-04-08,Summer
Karnataka,Mysore,12.7,5.5,,1987-02-09,Winter
Karnataka,Mysore,22.0,4.5,,1987-07-09,Monsoon
Karnataka,Mysore,23.2,5.2,,1987-04-09,Summer
Karnataka,Mysore,22.7,,,1987-04-10,Summer
Karnataka,Mysore,24.0,10.2,,1987-03-10,Summer
Karnataka,Mysore,27.3,5.8,,1987-03-10,Summer
Karnataka,Mysore,17.2,6.0,,1987-01-11,Winter
Karnataka,Mysore,13.3,4.3,,1987-04-11,Summer
Karnataka,Mysore,17.4,4.4,,1987-02-11,Winter
Karnataka,Mysore,7.8,3.8,,1987-01-12,Winter
Karnataka,Mysore,17.1,3.8,,1987-02-12,Winter
Karnataka,Mysore,13.1,3.1,,1987-04-12,Summer
Karnataka,Mysore,23.2,11.8,,1988-02-01,Winter
Karnataka,Mysore,23.1,13.8,,1988-01-01,Winter
Karnataka,Mysore,14.1,7.2,,1988-01-01,Winter
Karnataka,Mysore,24.2,15.7,,1988-02-02,Winter
Karnataka,Mysore,37.0,18.4,,1988-02-02,Winter
Karnataka,Mysore,28.0,10.9,,1988-01-02,Winter
Karnataka,Mysore,22.4,7.4,,1988-01-03,Winter
Karnataka,Mysore,33.8,4.4,,1988-02-03,Winter
Karnataka,Mysore,36.8,17.6,,1988-02-03,Winter
Karnataka,Mysore,28.4,6.6,,1988-05-04,Summer
Karnataka,Mysore,7.8,3.4,,1988-01-04,Winter
Karnataka,Mysore,8.2,2.5,,1988-04-04,Summer
Karnataka,Mysore,24.0,2.5,,1988-03-05,Summer
Karnataka,Mysore,10.7,2.1,,1988-02-05,Winter
Karnataka,Mysore,11.6,7.4,,1988-02-05,Winter
Karnataka,Mysore,34.7,6.6,,1988-03-06,Summer
Karnataka,Mysore,34.8,16.4,,1988-02-06,Winter
Karnataka,Mysore,13.9,4.5,,1988-01-06,Winter
Karnataka,Mysore,41.8,23.3,,1988-02-07,Winter
Karnataka,Mysore,6.7,1.6,,1988-01-07,Winter
Karnataka,Mysore,33.6,26.6,,1988-07-14,Monsoon
Karnataka,Mysore,46.3,11.5,,1988-01-08,Winter
Karnataka,Mysore,33.5,13.2,,1988-11-08,Winter
Karnataka,Mysore,45.7,14.8,,1988-02-08,Winter
Karnataka,Mysore,12.0,5.1,,1988-06-09,Monsoon
Karnataka,Mysore,19.2,9.1,,1988-06-09,Monsoon
Karnataka,Mysore,17.2,13.2,,1988-01-10,Winter
Karnataka,Mysore,12.2,3.8,,1988-11-10,Winter
Karnataka,Mysore,14.7,12.8,,1988-03-10,Summer
Karnataka,Mysore,19.9,12.5,,1988-01-11,Winter
Karnataka,Mysore,16.6,9.0,,1988-03-11,Summer
Karnataka,Mysore,16.9,7.9,,1988-02-11,Winter
Karnataka,Bangalore,37.2,15.2,,1988-02-11,Winter
Karnataka,Bangalore,77.9,32.0,,1988-03-11,Summer
Karnataka,Bangalore,27.2,20.3,,1988-02-11,Winter
Karnataka,Bangalore,23.1,13.4,,1988-03-11,Summer
Karnataka,Bangalore,26.3,11.2,,1988-02-11,Winter
Karnataka,Mysore,18.1,2.7,,1988-02-12,Winter
Karnataka,Mysore,12.2,12.1,,1988-02-12,Winter
Karnataka,Mysore,6.1,7.1,,1988-02-12,Winter
Karnataka,Bangalore,22.2,4.5,,1988-08-12,Monsoon
Karnataka,Bangalore,30.0,13.3,,1988-01-12,Winter
Karnataka,Bangalore,18.1,15.6,,1988-02-12,Winter
Karnataka,Bangalore,18.7,11.1,,1988-01-12,Winter
Karnataka,Bangalore,20.4,10.0,,1988-02-12,Winter
Karnataka,Bangalore,27.2,3.3,,1989-01-01,Winter
Karnataka,Bangalore,25.0,11.1,,1989-01-01,Winter
Karnataka,Bangalore,30.9,15.5,,1989-01-01,Winter
Karnataka,Bangalore,17.6,8.3,,1989-01-01,Winter
Karnataka,Bangalore,,6.2,,1989-01-01,Winter
Karnataka,Mysore,21.7,3.1,,1989-01-01,Winter
Karnataka,Mysore,10.6,7.5,,1989-01-01,Winter
Karnataka,Mysore,13.2,12.6,,1989-01-01,Winter
Karnataka,Bangalore,17.4,6.1,,1989-02-01,Winter
Karnataka,Bangalore,25.3,22.7,,1989-02-01,Winter
Karnataka,Bangalore,50.9,47.4,,1989-02-01,Winter
Karnataka,Bangalore,21.9,9.9,,1989-02-01,Winter
Karnataka,Bangalore,21.6,9.5,,1989-02-01,Winter
Karnataka,Mysore,13.5,11.0,,1989-02-01,Winter
Karnataka,Mysore,8.3,8.2,,1989-02-01,Winter
Karnataka,Mysore,9.4,20.8,,1989-02-01,Winter
Karnataka,Bangalore,18.8,6.2,,1989-03-01,Summer
Karnataka,Bangalore,24.9,10.2,,1989-03-01,Summer
Karnataka,Bangalore,36.5,29.5,,1989-03-01,Summer
Karnataka,Bangalore,20.4,9.8,,1989-03-01,Summer
Karnataka,Bangalore,23.5,9.0,,1989-03-01,Summer
Karnataka,Mysore,12.1,4.6,,1989-03-01,Summer
Karnataka,Mysore,12.4,9.7,,1989-03-01,Summer
Karnataka,Mysore,13.2,17.0,,1989-03-01,Summer
Karnataka,Bangalore,52.3,8.8,,1989-04-01,Summer
Karnataka,Bangalore,41.4,25.2,,1989-04-01,Summer
Karnataka,Bangalore,23.8,23.0,,1989-04-01,Summer
Karnataka,Bangalore,18.3,8.3,,1989-04-01,Summer
Karnataka,Bangalore,17.9,8.6,,1989-04-01,Summer
Karnataka,Mysore,6.8,2.7,,1989-04-01,Summer
Karnataka,Mysore,16.6,9.9,,1989-04-01,Summer
Karnataka,Mysore,16.5,30.9,,1989-04-01,Summer
Karnataka,Bangalore,15.7,9.6,,1989-05-01,Summer
Karnataka,Bangalore,36.3,19.1,,1989-05-01,Summer
Karnataka,Bangalore,18.1,29.9,,1989-05-01,Summer
Karnataka,Bangalore,12.8,9.9,,1989-05-01,Summer
Karnataka,Bangalore,15.1,7.7,,1989-05-01,Summer
Karnataka,Mysore,3.7,4.4,,1989-05-01,Summer
Karnataka,Mysore,11.1,20.8,,1989-05-01,Summer
