country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","17-01-2026 18:00:00",13.204880,79.097889,NH3,5,6,5
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","17-01-2026 18:00:00",14.465052,78.824187,PM2.5,42,79,63
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","17-01-2026 18:00:00",14.465052,78.824187,SO2,11,19,18
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","17-01-2026 18:00:00",14.465052,78.824187,OZONE,20,23,21
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","17-01-2026 18:00:00",13.67,79.35,PM2.5,74,233,133
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","17-01-2026 18:00:00",13.67,79.35,PM10,60,118,95
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","17-01-2026 18:00:00",13.67,79.35,CO,17,47,26
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","17-01-2026 18:00:00",13.615387,79.409230,PM2.5,72,75,73
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","17-01-2026 18:00:00",13.615387,79.409230,PM10,86,91,88
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","17-01-2026 18:00:00",13.615387,79.409230,SO2,15,16,15
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","17-01-2026 18:00:00",26.63086,84.90051,CO,15,44,20
India,Bihar,Munger,"Town Hall, Munger - BSPCB","17-01-2026 18:00:00",25.376776,86.471523,SO2,39,87,54
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","17-01-2026 18:00:00",26.1403345,85.3650192,NH3,2,2,2
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","17-01-2026 18:00:00",26.1403345,85.3650192,SO2,12,13,13
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","17-01-2026 18:00:00",25.586562,85.043586,NO2,31,115,54
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","17-01-2026 18:00:00",25.586562,85.043586,SO2,4,9,6
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","17-01-2026 18:00:00",25.586562,85.043586,CO,18,120,34
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","17-01-2026 18:00:00",25.586562,85.043586,OZONE,4,39,34
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","17-01-2026 18:00:00",25.592539,85.227158,PM2.5,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","17-01-2026 18:00:00",26.071318,91.87488,PM10,72,144,97
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","17-01-2026 18:00:00",26.10887,91.589544,PM2.5,53,147,97
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","17-01-2026 18:00:00",26.10887,91.589544,CO,20,66,33
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","17-01-2026 18:00:00",26.181742,91.78063,PM10,73,309,174
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","17-01-2026 18:00:00",26.349082,92.68449,NO2,NA,NA,NA
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","17-01-2026 18:00:00",26.349082,92.68449,NH3,1,4,4
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","17-01-2026 18:00:00",26.349082,92.68449,OZONE,8,20,12
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","17-01-2026 18:00:00",25.204762,85.514960,OZONE,1,12,2
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","17-01-2026 18:00:00",25.7808257,84.7446768,PM2.5,53,130,77
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","17-01-2026 18:00:00",25.7808257,84.7446768,CO,38,64,47
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","17-01-2026 18:00:00",24.7955,84.9994,SO2,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","17-01-2026 18:00:00",24.792403,84.992416,NO2,2,7,4
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","17-01-2026 18:00:00",24.792403,84.992416,OZONE,1,80,50
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","17-01-2026 18:00:00",25.697189,85.245900,NH3,4,11,8
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","17-01-2026 18:00:00",25.697189,85.245900,SO2,6,9,7
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","17-01-2026 18:00:00",26.0881305,87.93840336,OZONE,14,20,17
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","17-01-2026 18:00:00",27.308328,84.531742,NO2,4,13,7
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","17-01-2026 18:00:00",26.63086,84.90051,PM10,29,206,132
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","17-01-2026 18:00:00",16.536107,80.594233,SO2,18,18,18
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","17-01-2026 18:00:00",16.536107,80.594233,OZONE,6,36,33
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","17-01-2026 18:00:00",16.509717,80.612222,SO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","17-01-2026 18:00:00",16.554731,80.649110,CO,16,36,30
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","17-01-2026 18:00:00",17.72,83.3,OZONE,4,107,91
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","17-01-2026 18:00:00",25.592539,85.227158,CO,2,105,31
India,Bihar,Patna,"Muradpur, Patna - BSPCB","17-01-2026 18:00:00",25.619651,85.147382,OZONE,4,16,14
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","17-01-2026 18:00:00",25.599486,85.113666,PM2.5,92,242,169
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","17-01-2026 18:00:00",25.599486,85.113666,PM10,77,175,130
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","17-01-2026 18:00:00",25.366336,87.117468,PM10,71,109,91
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","17-01-2026 18:00:00",24.75746,84.366208,SO2,1,18,10
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","17-01-2026 18:00:00",24.75746,84.366208,OZONE,8,104,64
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","17-01-2026 18:00:00",25.42742023,86.13886079,OZONE,3,9,6
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","17-01-2026 18:00:00",26.80365,84.51954,OZONE,22,24,23
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","17-01-2026 18:00:00",26.446912,91.439057,NO2,13,15,14
India,Assam,Silchar,"Tarapur, Silchar - PCBA","17-01-2026 18:00:00",24.82827,92.79525,OZONE,2,6,3
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","17-01-2026 18:00:00",25.5626095,84.663264,PM10,72,127,108
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","17-01-2026 18:00:00",25.5626095,84.663264,NO2,2,9,7
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","17-01-2026 18:00:00",16.5150833,80.5181667,NO2,20,73,35
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","17-01-2026 18:00:00",16.5150833,80.5181667,CO,1,22,4
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","17-01-2026 18:00:00",14.675886,77.593027,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","17-01-2026 18:00:00",14.675886,77.593027,CO,22,30,24
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","17-01-2026 18:00:00",14.675886,77.593027,OZONE,7,30,27
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","17-01-2026 18:00:00",28.656756,77.227234,NH3,13,27,19
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","17-01-2026 18:00:00",28.656756,77.227234,SO2,8,40,27
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","17-01-2026 18:00:00",28.656756,77.227234,CO,134,192,150
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","17-01-2026 18:00:00",28.656756,77.227234,OZONE,1,134,77
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","17-01-2026 18:00:00",28.498571,77.264840,NH3,10,17,14
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","17-01-2026 18:00:00",28.498571,77.264840,SO2,10,18,12
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","17-01-2026 18:00:00",28.5710274,77.0719006,PM10,276,500,432
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","17-01-2026 18:00:00",28.5710274,77.0719006,NO2,56,227,120
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","17-01-2026 18:00:00",28.5627763,77.1180053,PM2.5,232,458,369
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","17-01-2026 18:00:00",28.5627763,77.1180053,PM10,191,481,385
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","17-01-2026 18:00:00",21.224231,81.408350,PM2.5,12,302,95
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","17-01-2026 18:00:00",21.224231,81.408350,NO2,31,98,70
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","17-01-2026 18:00:00",21.224231,81.408350,CO,10,111,30
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","17-01-2026 18:00:00",22.08815,82.13737,PM10,35,114,71
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","17-01-2026 18:00:00",22.08815,82.13737,CO,32,86,42
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","17-01-2026 18:00:00",22.118125,83.140608,OZONE,47,50,48
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","17-01-2026 18:00:00",22.348441,82.549611,PM2.5,15,183,58
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","17-01-2026 18:00:00",22.348441,82.549611,CO,12,76,15
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","17-01-2026 18:00:00",21.237755,81.705301,NH3,2,2,2
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","17-01-2026 18:00:00",21.371751,81.664929,PM10,70,161,118
India,Delhi,Delhi,"Alipur, Delhi - DPCC","17-01-2026 18:00:00",28.815329,77.153010,NO2,41,64,52
India,Delhi,Delhi,"Alipur, Delhi - DPCC","17-01-2026 18:00:00",28.815329,77.153010,NH3,19,24,22
India,Delhi,Delhi,"Alipur, Delhi - DPCC","17-01-2026 18:00:00",28.815329,77.153010,CO,71,102,90
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","17-01-2026 18:00:00",28.647622,77.3158090,PM10,414,500,471
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","17-01-2026 18:00:00",28.647622,77.3158090,NH3,6,9,8
